,ReserveStatus,Male,Price,CouponDiscount,Domestic,TripReason,Vehicle,Cancel,From_encoded,to_encoded,Days_Difference,Family_Members,Ticket_Count
46,3,0,1280000.0,0.0,1,0,0,0,70,211,1,1,1
47,5,0,10191000.0,0.0,1,0,2,0,70,189,1,1,1
48,3,0,1920000.0,0.0,1,0,0,0,70,15,0,1,2
49,2,1,848500.0,0.0,1,0,3,0,70,189,11,1,2
50,5,0,1200000.0,0.0,1,0,0,1,70,192,0,1,1
51,5,1,9900000.0,0.0,1,0,2,0,0,70,6,1,1
52,3,0,1090000.0,0.0,1,1,0,0,117,65,0,1,1
53,2,0,571000.0,0.0,1,1,3,0,43,241,2,1,1
54,2,0,70000.0,0.0,1,0,3,0,169,70,2,1,2
55,5,1,13532000.0,0.0,1,0,2,0,65,189,1,1,1
56,3,0,4150000.0,0.0,1,1,0,0,190,65,1,1,1
57,3,0,900000.0,0.0,1,1,0,0,27,14,1,1,1
58,2,1,630000.0,9450.0,1,0,3,0,70,169,2,1,1
59,3,1,1810000.0,0.0,1,1,0,0,70,263,0,1,1
60,3,1,1920000.0,0.0,1,1,0,0,70,15,2,1,1
61,3,1,2300000.0,0.0,1,0,0,0,144,70,3,1,2
62,3,1,3150000.0,0.0,1,1,0,0,70,60,0,1,1
63,2,1,2043000.0,0.0,1,0,3,0,189,70,0,1,1
64,3,1,2450000.0,0.0,1,0,0,0,190,70,12,1,2
65,3,0,2200000.0,0.0,1,0,0,0,0,27,0,1,1
66,3,1,1220000.0,7560.0,1,0,0,0,70,117,2,1,1
67,2,0,70000.0,0.0,1,0,3,0,70,169,3,1,1
68,5,0,14267000.0,2400.0,1,0,2,0,110,56,1,1,1
69,2,0,1553000.0,0.0,1,0,3,0,189,70,12,2,3
70,5,0,9750000.0,0.0,1,1,2,0,70,189,1,1,1
71,3,1,1840000.0,0.0,1,1,0,0,0,263,0,1,1
72,2,1,1158500.0,0.0,1,1,3,0,263,70,6,1,1
73,2,1,2264500.0,0.0,1,1,3,0,70,145,0,1,1
74,3,1,980000.0,0.0,1,1,0,0,27,263,1,1,1
75,3,1,2020000.0,0.0,1,0,0,0,33,169,3,1,2
76,3,0,1920000.0,0.0,1,0,0,0,15,70,18,1,2
77,5,1,1080000.0,0.0,1,0,0,1,110,70,16,1,1
78,3,0,1330000.0,0.0,1,1,0,0,207,145,2,1,1
79,3,1,2900000.0,0.0,1,1,0,0,82,153,2,1,1
80,2,1,1677500.0,0.0,1,1,3,0,263,70,14,1,1
81,3,1,800000.0,0.0,1,1,0,0,58,145,7,1,1
82,2,0,572500.0,0.0,1,0,3,0,70,200,0,1,1
83,3,1,2880000.0,0.0,1,1,0,0,110,145,6,1,1
84,3,1,520000.0,0.0,1,1,0,0,70,68,1,1,2
85,4,1,2754500.0,0.0,1,0,3,1,189,33,8,1,1
86,2,0,1831500.0,0.0,1,0,3,0,189,70,12,1,1
87,2,0,70000.0,0.0,1,0,3,0,169,70,1,1,1
88,3,1,2520000.0,0.0,1,1,0,0,145,70,2,1,1
89,2,0,489000.0,0.0,1,0,3,0,70,119,2,1,1
90,3,1,1950000.0,0.0,1,1,0,0,144,27,5,1,1
91,4,1,3014000.0,0.0,1,0,3,1,189,27,13,2,2
92,3,1,730000.0,0.0,1,1,0,0,70,205,0,1,1
93,3,1,1680000.0,0.0,1,1,0,0,240,82,0,1,1
94,2,0,2040500.0,0.0,1,0,3,0,70,189,23,1,2
95,3,1,1220000.0,0.0,1,1,0,0,27,70,0,1,1
96,2,1,2043000.0,0.0,1,0,3,0,189,70,27,2,3
97,2,1,6430000.0,0.0,1,1,3,0,70,189,0,1,1
98,2,1,745500.0,0.0,1,1,3,0,70,133,1,1,1
99,3,1,1180000.0,0.0,1,1,0,0,70,125,1,1,1
100,5,1,7940000.0,59550.0,1,1,2,0,70,15,0,1,1
101,5,1,11745000.0,0.0,1,1,2,0,70,20,4,1,1
102,2,1,3518000.0,0.0,1,1,3,0,145,70,1,1,1
103,5,0,6963000.0,0.0,1,0,2,0,145,56,7,1,1
104,2,1,3043500.0,0.0,1,0,3,0,84,70,2,1,1
105,5,0,3060000.0,0.0,1,1,0,1,112,145,5,1,1
106,3,1,570000.0,0.0,1,1,0,0,27,201,1,1,1
107,2,1,3667500.0,0.0,1,0,3,0,189,263,31,1,1
108,3,1,930000.0,0.0,1,1,0,0,207,70,0,1,1
109,3,1,1560000.0,0.0,1,0,0,0,234,27,5,1,3
110,3,1,2210000.0,0.0,1,1,0,0,65,27,0,1,1
111,5,1,11280000.0,0.0,1,1,2,0,70,263,4,1,1
112,2,0,2943500.0,0.0,1,0,3,0,70,189,11,1,1
113,2,1,40000.0,0.0,1,0,3,0,65,73,1,2,2
114,3,0,1955000.0,0.0,1,0,0,0,33,27,0,1,1
115,2,1,1277000.0,0.0,1,0,3,0,263,70,2,1,1
116,3,0,1080000.0,0.0,1,1,0,0,110,70,1,1,1
117,4,0,2122000.0,0.0,1,0,3,1,240,189,7,2,3
118,3,1,390000.0,0.0,1,0,0,0,76,145,0,1,1
119,2,1,70000.0,0.0,1,0,3,0,70,169,10,1,1
120,4,1,5966000.0,0.0,1,0,3,1,189,70,26,1,1
121,3,0,1180000.0,0.0,1,1,0,0,145,241,6,1,1
122,4,0,2354500.0,0.0,1,0,3,1,70,189,1,1,1
123,3,1,1559990.0,0.0,1,1,0,0,82,70,1,1,1
124,3,1,1220000.0,109800.0,1,0,0,0,70,27,0,1,1
125,5,0,8150000.0,0.0,1,0,2,0,189,65,3,2,3
126,3,1,1000000.0,0.0,1,0,0,0,145,27,1,1,1
127,5,0,11210000.0,0.0,1,0,2,0,33,189,11,1,1
128,3,1,1170000.0,0.0,1,1,0,0,70,174,0,1,1
129,3,1,3000000.0,0.0,1,0,0,0,169,190,1,1,1
130,5,1,1810000.0,0.0,1,1,0,1,70,263,5,1,1
131,4,0,825500.0,0.0,1,1,3,1,27,263,1,1,1
132,3,0,765000.0,0.0,1,1,0,0,263,141,0,1,1
133,3,0,980000.0,0.0,1,1,0,0,27,263,1,1,1
134,4,1,1634000.0,0.0,1,0,3,1,189,70,27,1,1
135,5,1,10181000.0,0.0,1,0,2,0,249,27,18,2,2
136,3,1,2000000.0,0.0,1,1,0,0,145,33,6,1,1
137,3,1,750000.0,0.0,1,1,0,0,14,70,0,1,1
138,2,0,297500.0,0.0,1,0,3,0,70,165,4,1,1
139,2,1,1855000.0,0.0,1,0,3,0,33,189,3,1,1
140,2,1,1553000.0,0.0,1,1,3,0,189,70,3,1,1
141,4,1,1553000.0,0.0,1,0,3,1,189,70,16,2,2
142,2,1,70000.0,0.0,1,0,3,0,169,70,6,1,1
143,2,1,1286500.0,0.0,1,1,3,0,70,189,0,1,1
144,3,1,1000000.0,0.0,1,0,0,0,145,60,0,1,1
145,3,1,1530000.0,0.0,1,1,0,0,145,33,0,1,1
146,3,0,1000000.0,0.0,1,1,0,0,145,27,0,1,1
147,4,1,2043000.0,0.0,1,0,3,1,189,70,1,1,1
148,3,0,1560000.0,0.0,1,1,0,0,27,212,1,1,1
149,5,0,520000.0,0.0,1,1,0,1,70,127,4,1,1
150,5,0,10191000.0,0.0,1,0,2,0,189,70,11,1,2
151,2,0,1920500.0,0.0,1,1,3,0,241,70,0,1,1
152,3,1,3370000.0,0.0,1,0,0,0,110,190,7,1,6
153,3,1,1220000.0,0.0,1,1,0,0,70,27,0,1,1
154,2,0,70000.0,0.0,1,0,3,0,169,70,2,1,1
155,5,1,13415000.0,0.0,1,1,2,1,70,233,1,1,1
156,3,1,1950000.0,0.0,1,1,0,0,145,70,1,1,1
157,5,0,13979000.0,0.0,1,0,2,0,189,249,6,1,2
158,2,1,426500.0,0.0,1,1,3,0,70,127,2,1,1
159,3,1,1460000.0,0.0,1,1,0,0,253,70,6,1,1
160,5,0,8000000.0,0.0,1,0,2,0,249,263,7,1,1
161,2,1,1794500.0,0.0,1,0,3,0,70,65,5,1,1
162,5,0,10191000.0,0.0,1,0,2,0,189,70,3,1,1
163,3,1,2575000.0,0.0,1,1,0,0,33,70,3,1,3
164,3,1,1200000.0,0.0,1,1,0,0,207,70,0,1,1
165,2,0,2245500.0,76095.0,1,0,3,0,165,189,11,1,1
166,3,0,447000.0,0.0,1,1,0,0,263,27,4,1,1
167,3,1,1100000.0,0.0,1,1,0,0,145,141,0,1,1
168,5,0,10718000.0,0.0,1,0,2,0,110,189,13,1,1
169,3,1,1290000.0,0.0,1,0,0,0,70,69,0,1,2
170,3,1,850000.0,0.0,1,0,0,0,169,27,2,1,1
171,3,1,1335000.0,0.0,1,1,0,0,27,145,0,1,1
172,2,0,2040500.0,0.0,1,0,3,0,70,189,16,1,1
173,2,1,2537500.0,0.0,1,1,3,0,33,70,2,1,1
174,3,1,2480000.0,0.0,1,0,0,0,70,190,3,1,1
175,5,0,8000000.0,0.0,1,0,2,0,70,249,2,1,1
176,3,0,940000.0,0.0,1,0,0,0,70,220,0,1,1
177,5,1,690000.0,0.0,1,1,0,1,240,110,0,1,1
178,3,1,730000.0,0.0,1,0,0,0,145,60,0,1,1
179,3,1,2650000.0,0.0,1,1,0,0,257,115,0,1,1
180,3,1,1920000.0,0.0,1,1,0,0,15,70,0,1,1
181,2,1,1319000.0,0.0,1,1,3,0,70,263,0,1,1
182,2,1,3960500.0,0.0,1,1,3,0,241,70,0,1,1
183,2,1,1553000.0,0.0,1,0,3,0,70,189,10,1,1
184,2,1,2043000.0,0.0,1,0,3,0,70,189,2,2,3
185,3,1,350000.0,0.0,1,1,0,0,254,27,1,1,1
186,2,0,2121500.0,0.0,1,0,3,0,241,70,11,1,1
187,2,0,3960500.0,0.0,1,1,3,0,241,70,1,1,1
188,3,1,1810000.0,0.0,1,1,0,0,27,241,1,1,1
189,3,0,1540000.0,0.0,1,0,0,0,241,145,0,1,1
190,2,1,70000.0,0.0,1,0,3,0,70,75,2,1,1
191,2,0,2203000.0,0.0,1,0,3,0,189,70,14,1,2
192,5,1,7827000.0,0.0,1,1,2,0,263,70,3,1,1
193,2,1,3897500.0,0.0,1,1,3,0,70,115,9,1,1
194,2,1,1473000.0,0.0,1,1,3,0,189,70,2,1,1
195,5,0,13671000.0,0.0,1,0,2,0,0,189,24,1,2
196,3,1,875000.0,0.0,1,0,0,0,56,145,0,1,1
197,3,1,1690000.0,69660.0,1,1,0,0,240,65,0,1,1
198,3,0,1220000.0,0.0,1,1,0,0,70,117,1,1,1
199,3,1,900000.0,0.0,1,1,0,0,70,14,3,1,1
200,5,0,10191000.0,0.0,1,0,2,0,189,70,19,1,2
201,3,1,770000.0,0.0,1,0,0,0,190,156,1,1,1
202,3,1,2200000.0,0.0,1,1,0,0,153,33,2,1,1
203,2,0,40000.0,0.0,1,0,3,0,73,65,1,1,2
204,4,1,70000.0,0.0,1,0,3,1,70,169,3,1,1
205,2,0,1553000.0,0.0,1,0,3,0,70,189,9,1,1
206,5,1,4200000.0,0.0,1,0,0,1,70,198,0,1,2
207,3,1,2020000.0,0.0,1,1,0,0,70,212,1,1,1
208,5,1,15000000.0,0.0,1,0,2,0,189,27,3,2,2
209,5,1,1080000.0,0.0,1,0,0,1,70,119,5,1,1
210,2,0,2705500.0,0.0,1,1,3,0,56,70,6,1,1
211,2,0,2245500.0,0.0,1,0,3,0,165,189,22,1,3
212,2,1,2783000.0,0.0,1,0,3,0,189,169,5,1,2
213,2,0,3320500.0,24960.0,1,0,3,0,189,56,10,2,2
214,2,1,2081000.0,0.0,1,1,3,0,189,70,10,1,1
215,3,1,2900000.0,26010.0,1,1,0,0,145,110,1,1,1
216,2,0,2372500.0,0.0,1,0,3,0,70,189,7,1,1
217,3,0,1860000.0,0.0,1,0,0,0,145,179,0,1,1
218,3,1,1300000.0,0.0,1,0,0,0,105,145,0,1,1
219,3,1,1220000.0,0.0,1,0,0,0,27,70,1,1,2
220,2,0,2983500.0,0.0,1,0,3,0,189,70,2,1,1
221,3,1,1470000.0,0.0,1,1,0,0,70,263,0,1,1
222,3,1,440000.0,0.0,1,1,0,0,76,145,0,1,1
223,3,1,1650000.0,0.0,1,1,0,0,20,70,0,1,1
224,3,1,990000.0,0.0,1,0,0,0,70,91,1,1,1
225,3,1,1000000.0,0.0,1,1,0,0,145,263,0,1,1
226,3,0,1800000.0,0.0,1,1,0,0,115,56,0,1,1
227,3,1,2000000.0,0.0,1,1,0,0,145,33,1,1,1
228,5,0,10191000.0,0.0,1,1,2,0,189,70,6,1,1
229,5,0,13241000.0,0.0,1,0,2,0,189,60,18,2,2
230,5,1,10167000.0,0.0,1,1,2,0,27,189,6,1,1
231,2,0,70000.0,0.0,1,1,3,0,169,70,1,1,1
232,3,0,2485000.0,0.0,1,1,0,0,70,190,0,1,1
233,3,0,1260000.0,0.0,1,0,0,0,263,145,1,1,1
234,3,1,340000.0,0.0,1,1,0,0,145,76,0,1,1
235,2,1,2132000.0,0.0,1,0,3,0,189,70,11,1,1
236,5,0,1300000.0,0.0,1,1,0,1,190,63,0,1,1
237,2,0,3252000.0,0.0,1,0,3,0,242,189,10,1,1
238,2,0,70000.0,0.0,1,1,3,0,70,169,5,1,1
239,2,0,3407500.0,0.0,1,0,3,0,70,189,28,1,2
240,2,1,3490000.0,0.0,1,1,3,0,70,145,3,1,1
241,4,0,952500.0,0.0,1,0,3,1,189,70,20,1,1
242,2,0,2968500.0,0.0,1,0,3,0,189,65,0,2,2
243,5,1,9289000.0,0.0,1,1,2,0,145,70,1,1,1
244,5,1,1460000.0,0.0,1,1,0,1,70,253,2,1,3
245,3,0,3500000.0,0.0,1,0,0,0,190,145,28,1,3
246,3,1,935000.0,0.0,1,1,0,0,27,70,0,1,1
247,4,0,3837000.0,0.0,1,1,3,1,27,189,9,1,2
248,5,1,1080000.0,0.0,1,1,0,1,40,70,2,1,1
249,2,1,1897500.0,0.0,1,1,3,0,70,65,1,1,1
250,2,0,1794500.0,0.0,1,0,3,0,70,65,4,1,1
251,3,1,1220000.0,0.0,1,1,0,0,70,220,7,1,1
252,5,0,7548000.0,0.0,1,0,2,0,27,70,1,1,1
253,3,0,400000.0,0.0,1,1,0,0,27,238,1,1,1
254,2,1,1255000.0,0.0,1,0,3,0,70,110,10,1,1
255,2,1,2814500.0,0.0,1,1,3,0,70,145,0,1,1
256,3,1,700000.0,0.0,1,1,0,0,145,28,0,1,1
257,3,1,1950000.0,0.0,1,1,0,0,241,190,0,1,1
258,3,1,1780000.0,0.0,1,0,0,0,145,115,6,1,1
259,3,1,1470000.0,0.0,1,1,0,0,70,141,0,1,1
260,3,1,1510000.0,0.0,1,1,0,0,27,110,0,1,2
261,3,0,3050000.0,0.0,1,1,0,0,145,119,7,1,1
262,2,0,1762000.0,0.0,1,0,3,0,189,70,17,1,1
263,2,0,2669000.0,0.0,1,0,3,0,189,70,21,1,1
264,2,1,1319000.0,0.0,1,1,3,0,70,263,2,1,1
265,2,1,2537500.0,0.0,1,1,3,0,70,33,2,1,1
266,2,0,2043000.0,0.0,1,0,3,0,189,70,1,1,1
267,5,0,12600000.0,25000.0,1,0,2,0,189,249,6,1,1
268,3,1,1460000.0,0.0,1,1,0,0,253,70,5,1,2
269,3,1,350000.0,0.0,1,1,0,0,239,190,2,1,1
270,5,0,10175000.0,0.0,1,0,2,0,70,189,21,1,1
271,2,1,1752000.0,0.0,1,1,3,0,70,116,1,1,1
272,3,1,1940000.0,0.0,1,1,0,0,70,262,2,1,1
273,2,0,569000.0,0.0,1,0,3,0,251,119,6,1,1
274,4,0,329500.0,0.0,1,1,3,1,219,117,0,1,1
275,3,1,3290000.0,0.0,1,1,0,0,263,33,6,1,1
276,3,1,710000.0,0.0,1,1,0,0,28,145,1,1,1
277,3,1,2575000.0,0.0,1,1,0,0,33,70,2,1,1
278,3,0,1560000.0,0.0,1,0,0,0,70,82,0,1,1
279,3,0,2250000.0,0.0,1,1,0,0,132,70,5,1,1
280,3,0,970000.0,0.0,1,0,0,0,70,192,1,1,1
281,3,1,2380000.0,0.0,1,1,0,0,190,115,1,1,1
282,5,1,7548000.0,0.0,1,1,2,0,70,27,3,1,1
283,3,1,2600000.0,0.0,1,0,0,0,240,190,10,1,1
284,5,1,10167000.0,0.0,1,1,2,0,189,27,0,1,1
285,2,0,3518000.0,0.0,1,1,3,0,145,70,13,1,1
286,2,0,3407500.0,0.0,1,1,3,0,189,70,25,1,1
287,5,1,13152000.0,0.0,1,1,2,0,56,70,9,1,1
288,3,0,1080000.0,0.0,1,1,0,0,175,70,3,1,1
289,2,1,4439500.0,0.0,1,0,3,0,189,169,3,2,2
290,3,1,1300000.0,0.0,1,1,0,0,153,145,3,1,1
291,3,0,900000.0,0.0,1,0,0,0,220,70,0,1,1
292,5,0,4750000.0,0.0,1,1,2,0,249,27,0,1,1
293,3,0,440000.0,0.0,1,1,0,0,76,145,2,1,1
294,5,1,10110000.0,0.0,1,1,2,0,56,70,1,1,2
295,3,0,1890000.0,0.0,1,1,0,0,110,70,1,1,1
296,3,0,3405000.0,0.0,1,0,0,0,33,65,0,1,1
297,5,0,9246000.0,0.0,1,0,2,0,70,20,21,1,5
298,5,1,1200000.0,0.0,1,1,0,1,207,70,4,1,1
299,3,1,1300000.0,0.0,1,0,0,0,27,240,0,1,1
300,2,0,7500000.0,0.0,1,0,3,0,110,189,18,2,4
301,3,1,2575000.0,0.0,1,1,0,0,33,70,15,1,1
302,3,1,2980000.0,0.0,1,1,0,0,63,70,2,1,1
303,2,1,2500000.0,0.0,1,1,3,0,70,110,1,1,1
304,3,1,830000.0,0.0,1,1,0,0,240,110,1,1,1
305,3,0,1220000.0,0.0,1,1,0,0,70,27,3,1,2
306,2,0,4059000.0,0.0,1,1,3,0,70,56,10,1,1
307,5,0,11320000.0,0.0,1,0,2,0,189,33,1,1,1
308,2,0,3490000.0,0.0,1,0,3,0,70,145,4,1,1
309,3,0,1950000.0,0.0,1,1,0,0,141,0,1,1,1
310,4,0,1920500.0,0.0,1,0,3,1,70,241,17,1,2
311,2,1,2814500.0,0.0,1,1,3,0,70,145,2,1,1
312,5,1,13500000.0,0.0,1,1,2,0,65,189,0,1,1
313,2,0,920000.0,0.0,1,1,3,0,184,70,7,1,2
314,3,1,1320000.0,0.0,1,1,0,0,145,27,3,1,1
315,4,1,2043000.0,0.0,1,0,3,1,189,70,14,1,1
316,2,0,3837000.0,0.0,1,0,3,0,27,189,7,1,1
317,3,0,980000.0,0.0,1,1,0,0,27,263,1,1,1
318,3,1,740000.0,0.0,1,1,0,0,119,70,0,1,1
319,3,1,2530000.0,9750.0,1,0,0,0,108,190,1,1,1
320,3,1,2600000.0,0.0,1,1,0,0,20,169,2,1,1
321,3,0,1220000.0,0.0,1,1,0,0,70,27,0,1,1
322,3,0,625000.0,0.0,1,0,0,0,112,70,5,1,1
323,3,1,1700000.0,0.0,1,1,0,0,50,70,0,1,1
324,3,1,1220000.0,0.0,1,1,0,0,70,141,0,1,1
325,3,0,1790000.0,0.0,1,0,0,0,190,253,1,1,1
326,5,1,15250000.0,0.0,1,0,2,0,189,70,2,1,1
327,3,1,2640000.0,0.0,1,0,0,0,263,190,6,1,1
328,2,0,1501000.0,0.0,1,1,3,0,253,70,10,1,1
329,3,1,780000.0,0.0,1,1,0,0,161,70,2,1,1
330,2,0,1228000.0,0.0,1,1,3,0,14,33,7,1,2
331,2,0,40000.0,0.0,1,0,3,0,73,65,2,1,2
332,3,0,1210000.0,0.0,1,1,0,0,220,70,0,1,1
333,2,1,979500.0,0.0,1,1,3,0,77,70,3,1,1
334,3,1,1220000.0,0.0,1,1,0,0,47,70,1,1,1
335,3,0,1335000.0,0.0,1,0,0,0,145,136,7,1,2
336,2,0,70000.0,0.0,1,1,3,0,70,169,4,1,1
337,2,0,926500.0,0.0,1,0,3,0,70,200,2,1,1
338,2,0,2669000.0,0.0,1,0,3,0,70,189,10,2,6
339,2,0,70000.0,0.0,1,0,3,0,169,70,2,2,2
340,4,1,3140000.0,0.0,1,0,3,1,169,189,2,1,1
341,3,1,580000.0,0.0,1,1,0,0,263,241,0,1,1
342,5,1,10191000.0,0.0,1,1,2,0,189,70,3,1,1
343,5,0,5135000.0,0.0,1,0,2,0,70,189,1,1,2
344,5,1,500000.0,0.0,1,0,0,1,70,238,2,1,2
345,5,1,1220000.0,0.0,1,1,0,1,70,27,2,1,1
346,3,1,1300000.0,0.0,1,1,0,0,145,153,0,1,1
347,2,0,635000.0,0.0,1,1,3,0,70,117,9,2,2
348,5,1,1220000.0,0.0,1,1,0,1,27,70,4,1,1
349,2,1,1553000.0,0.0,1,0,3,0,189,70,8,2,3
350,3,1,3550000.0,0.0,1,0,0,0,145,190,0,1,1
351,3,1,2080000.0,0.0,1,1,0,0,70,31,0,1,1
352,3,1,1340000.0,0.0,1,1,0,0,240,192,1,1,1
353,2,0,4131500.0,0.0,1,0,3,0,189,27,22,2,3
354,2,0,2043000.0,0.0,1,0,3,0,189,70,7,2,3
355,2,0,1855000.0,0.0,1,0,3,0,189,33,0,1,1
356,5,1,7827000.0,0.0,1,1,2,0,70,263,8,1,1
357,2,1,2938000.0,0.0,1,0,3,0,165,189,1,1,1
358,5,1,750000.0,0.0,1,1,0,1,82,169,2,1,1
359,5,1,1300000.0,0.0,1,1,0,1,130,70,1,1,1
360,3,1,1600000.0,0.0,1,0,0,0,70,97,5,1,1
361,5,1,9357000.0,0.0,1,1,2,0,33,70,1,1,1
362,3,1,2250000.0,0.0,1,0,0,0,153,27,8,1,1
363,5,0,10167000.0,0.0,1,0,2,0,189,27,16,1,1
364,3,1,1780000.0,0.0,1,1,0,0,56,244,0,1,1
365,4,1,2669000.0,0.0,1,0,3,1,70,189,5,1,1
366,2,1,3829000.0,0.0,1,0,3,0,70,189,8,2,5
367,4,0,1809000.0,0.0,1,0,3,1,33,70,16,1,1
368,3,1,980000.0,0.0,1,1,0,0,27,263,0,1,1
369,2,1,1553000.0,27180.0,1,0,3,0,189,70,4,1,2
370,3,1,2750000.0,0.0,1,0,0,0,20,27,6,1,1
371,5,1,2470000.0,0.0,1,0,0,1,70,190,4,1,1
372,2,0,2040500.0,0.0,1,0,3,0,189,70,3,1,1
373,2,1,2372500.0,0.0,1,0,3,0,70,189,25,2,4
374,2,0,794500.0,0.0,1,1,3,0,132,56,3,1,1
375,4,1,2603000.0,0.0,1,1,3,1,263,70,15,1,1
376,2,1,2272000.0,0.0,1,1,3,0,70,56,1,1,1
377,3,1,450000.0,0.0,1,1,0,0,27,238,4,1,2
378,3,1,3250000.0,0.0,1,1,0,0,70,56,0,1,1
379,5,1,1250000.0,0.0,1,1,0,1,150,190,6,1,1
380,2,0,1536500.0,0.0,1,1,3,0,70,241,1,1,1
381,3,1,1750000.0,0.0,1,1,0,0,117,27,1,1,1
382,2,1,1250000.0,0.0,1,0,3,0,70,189,5,1,1
383,5,0,8895000.0,0.0,1,0,2,1,189,145,29,1,1
384,3,1,570000.0,0.0,1,1,0,0,27,263,0,1,1
385,2,1,2272000.0,0.0,1,1,3,0,56,70,7,1,1
386,5,1,8295000.0,133333.33333333334,1,1,2,0,70,46,16,1,1
387,3,1,1100000.0,0.0,1,1,0,0,178,70,0,1,1
388,2,1,745500.0,0.0,1,1,3,0,133,70,14,2,2
389,2,0,825500.0,0.0,1,1,3,0,27,263,2,1,1
390,3,1,1300000.0,0.0,1,1,0,0,145,153,0,1,1
391,3,0,1080000.0,0.0,1,1,0,0,40,70,4,1,1
392,2,0,6510500.0,0.0,1,0,3,0,189,65,11,1,1
393,5,0,10167000.0,0.0,1,0,2,1,27,189,8,1,1
394,3,1,1220000.0,0.0,1,1,0,0,27,70,0,1,1
395,3,1,2200000.0,0.0,1,0,0,0,190,27,3,1,1
396,2,0,1897000.0,0.0,1,1,3,0,189,127,0,1,2
397,3,1,2000000.0,0.0,1,1,0,0,145,33,2,1,1
398,5,1,1950000.0,0.0,1,1,0,1,220,33,1,1,1
399,2,1,70000.0,0.0,1,1,3,0,169,70,7,1,1
400,3,1,1560000.0,0.0,1,1,0,0,70,82,0,1,1
401,2,1,1576000.0,0.0,1,1,3,0,70,56,8,1,1
402,2,1,3534000.0,0.0,1,0,3,0,189,70,0,1,1
403,3,1,1500000.0,0.0,1,1,0,0,263,190,0,1,1
404,5,1,10167000.0,116666.66666666669,1,0,2,0,189,27,16,1,1
405,3,1,1625000.0,0.0,1,1,0,0,145,56,1,1,1
406,2,0,2560500.0,0.0,1,0,3,0,189,70,45,1,2
407,3,1,2200000.0,0.0,1,1,0,0,56,27,0,1,1
408,2,1,738500.0,0.0,1,1,3,0,184,70,0,1,1
